"Study","ES.Metric","Value","N","Reverse"
"Vohs","pseudo R2",0.0260843439633816,621,"no"
"Forster","partial eta2",0.0316227766016838,1460,"no"
"Albarracin S5","pseudo R2",0.0136843341087537,1464,"no"
"van Dijk","pseudo R2",0.0426566876351177,555,"no"
"Lobue","pseudo R2",0.0441829039335352,545,"no"
"Shnabel","pseudo R2",0.0547722557505166,2738,"no"
"Risen","g",0.038278924546557,3512,"no"
"Payne","pseudo R2",-0.0894427190999916,1103,"yes"
"Crosby","pseudo R2",-0.01,276,"yes"
"Albarracin S7","pseudo R2",-0.0218784597264067,1690,"yes"
