"Study","Site","Version","ES.Metric","Value","N","Reverse","Label"
"Albarracin S7","Ashland University","RP:P","eta sq",0.334579527168056,36,"no","Albarracin S7 RP:P"
"Albarracin S7","Grand Valley State University","RP:P","eta sq",0.0306074664093584,182,"no","Albarracin S7 RP:P"
"Albarracin S7","McDaniel College","RP:P","eta sq",0.317471195543785,26,"no","Albarracin S7 RP:P"
"Albarracin S7","Michigan State University","RP:P","eta sq",0.0694691442296506,352,"no","Albarracin S7 RP:P"
"Crosby","Edinburgh","RP:P","pseudo R2",0.167332005306815,43,"no","Crosby RP:P"
"Crosby","Occidental","RP:P","pseudo R2",0.2,47,"no","Crosby RP:P"
"Crosby","Stirling","RP:P","pseudo R2",0.0836660026534076,50,"no","Crosby RP:P"
"Shnabel","Murray State","RP:P","pseudo R2",0.0706285707061951,69,"no","Shnabel RP:P"
"Shnabel","Ithica","RP:P","pseudo R2",0.00392428337406972,159,"no","Shnabel RP:P"
"Shnabel","Williamette","RP:P","pseudo R2",0.154440700594112,110,"no","Shnabel RP:P"
"Shnabel","Western Kentucky","RP:P","pseudo R2",0.0814838143437088,181,"no","Shnabel RP:P"
"Shnabel","UC Riverside","RP:P","pseudo R2",0.0335896710314346,176,"no","Shnabel RP:P"
"Shnabel","University of Belgrade","RP:P","pseudo R2",0.0231563166328326,201,"no","Shnabel RP:P"
"Albarracin S7","Brigham Young University","Revised","eta sq",0.138963016662708,33,"no","Albarracin S7 Revised"
"Albarracin S7","McDaniel College","Revised","eta sq",0.202194609225864,17,"no","Albarracin S7 Revised"
"Albarracin S7","Southern Illinois University","Revised","eta sq",0.196251649674595,52,"no","Albarracin S7 Revised"
"Crosby","Edinburgh","Revised","pseudo R2",0.0707106781186548,45,"no","Crosby Revised"
"Crosby","Occidental","Revised","pseudo R2",0.1,41,"no","Crosby Revised"
"Crosby","Stirling","Revised","pseudo R2",0.228035085019828,50,"no","Crosby Revised"
"Shnabel","Texas A&M","Revised","pseudo R2",0.0655710225633244,187,"no","Shnabel Revised"
"Shnabel","Murray State","Revised","pseudo R2",0.0920687351927895,71,"no","Shnabel Revised"
"Shnabel","Ithica","Revised","pseudo R2",0.186997807473778,165,"no","Shnabel Revised"
"Shnabel","St. Josephs","Revised","pseudo R2",0.02565665605647,280,"no","Shnabel Revised"
"Shnabel","Williamette","Revised","pseudo R2",0.178056844855793,111,"no","Shnabel Revised"
"Shnabel","Western Kentucky","Revised","pseudo R2",0.0591487024371626,183,"no","Shnabel Revised"
"Shnabel","UC Riverside","Revised","pseudo R2",0.0459741666591141,180,"no","Shnabel Revised"
"Shnabel","University of Belgrade","Revised","pseudo R2",0.119662232972647,199,"no","Shnabel Revised"
"Risen","MTurk","RP:P","g",-0.0425223229623569,2811,"no","Risen RP:P"
"van Dijk","Boston College","RP:P","d",0.162798782993202,60,"no","van Dijk RP:P"
"van Dijk","Eotvos Lorand University","RP:P","d",-0.119145220618431,78,"no","van Dijk RP:P"
"van Dijk","University of Goettingen","RP:P","d",0.13378637625248,65,"no","van Dijk RP:P"
"van Dijk","Maria Curie-Sklodowska University","RP:P","d",0.00499993750117185,60,"no","van Dijk RP:P"
"van Dijk","Universidad de los Andes","RP:P","d",0.0499376169438922,107,"no","van Dijk RP:P"
"van Dijk","Wharton School","RP:P","d",0.196116135138184,66,"no","van Dijk RP:P"
"Vohs","Miami University","RP:P","d",0.0149983127847122,74,"no","Vohs RP:P"
"Vohs","Basel","RP:P","d",0.18666064582327,78,"no","Vohs RP:P"
