Study Num,Study Title (O),Authors (O),Journal (O),Volume (O),Issue (O),Pages (O),Project URL,Descriptors (O),Number of Authors (O),Number of Authors (R),1st author (O),"Citation Count, 1st author (O)",Institution 1st author (O),Senior author (O),"Citation count, senior author (O)",Institution senior author (O),1st author (R),"Citation count, 1st author (R)",Institution 1st author (R),Senior author (R),"Citation count, senior author (R)",Institution senior author (R),"Citation count, paper (O)","Institution prestige, 1st author (O)","Institution prestige, senior author (O)","Institution prestige, 1st author (R)","Institution prestige, senior author (R)",Number of Studies (O),Discipline (O),Number of research sites (O),Secondary data (O),Methodology expertise required (O),Opportunity for expectancy bias (O),Opportunity for lack of diligence (O),Surprising result (O),Exciting result (O),Internal conceptual replications (O),Successful conceptual replications (O),Internal direct replications (O),Successful direct replications (O),Feasibility (O),Status (R),Completion (R),Secondary (R),Contact Researcher (R),Study claim date (R),Analysis completion date (R),Coder's email (R),Replicated study number (R),Test statistic (O),N (O),Reported P-value (O),Calculated P-value (O),# Tails (O),Type of analysis (O),Type of effect (O),Description of effect (O),Effect size (O),Actual Power (O),80% power,90% power,95% power,Collect materials from authors,Planned Sample,Planned Power,Original Author's Assessment,OSC reviewer (O),Test statistic (R),N (R),P-value (R),Direction (R),# Tails (R),Type of analysis (R),Type of effect (R),Replicate (R),Power (R),Effect Size (R),OSC reviewer (R),Notes (R),Project audit complete (R),R check location (R),Degree (R),Year of highest degree (R),Current position (R),Domain expertise (R),Method expertise (R),Total publications (R),Peer-reviewed articles (R),Citations (R),Implementation quality (R),Data collection quality (R),Replication similarity (R),Differences (R),Effect similarity (R),Findings similarity (R),Difficulty of implimentation (R),Surprise of outcome (R),Dummy,Number of Research sites (R),Secondary data (R),Area of expertise (R),T_N..O.,T_Test.Statistic..O.,T_TestComparison..O.,T_df1..O.,T_df2..O.,T_Test.value..O.,T_p.comparison..O.,T_pval..O.,T_pval.recalc..O.,T_pval_USE..O.,T_sign..O.,T_r..O.,T_N..R.,T_Test.Statistic..R.,T_Test.Comparison..R.,T_df1..R.,T_df2..R.,T_Test.value..R.,T_p.comparison..R.,T_pval..R.,T_pval.recalc..R.,T_pval_USE..R.,T_sign..R.,T_r..R.,T_Comparison.effects..R.O.,Type of analysis (O),Type of analysis (R),,T_sign_O,T_sign_R,T_O_larger,T_N_O_for_tables,T_N_R_for_tables,Meta-analytic estimate (Fz),O within CI R,Meta-analysis significant
49,Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.,"D Albarracên, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart",JPSP,95,3,510-23,https://osf.io/vy1bc/,"Attention, Awareness, Cues, Culture, Decision Making, Feeding Behavior, Female, Goals, Humans, Internal-External Control, Judgment, Male, Mental Recall, Persuasive Communication, Problem Solving, Psychomotor Performance, Semantics, Set (Psychology)",9,3,Albarracên,5096,University of Illinois,Albarracên,5096,University of Illinois,Kim,4,Stanford University,Frank,1965,Stanford University,46,3.85,3.85,6.54,6.54,7,Social,1,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,3.57,3.28,1,1,0,0,0,1,1,1,S Kim,1/1/12,3/15/12,J Cohoon,5,"F(1, 34) = 5.68",36,0.02,,,ANOVA,main effect,participants primed with action words performed better (i.e. solved more number of problems correctly) than participants primed with inaction words did,__p^2 = 0.143,,54,70,86,Complete,86,0.95,4,M Frank,"F(1, 86) = .08",88,0.77,opposite,2,ANOVA,main effect,no,0.96,_^2 = .00096,M Frank,,1,https://osf.io/gtewj/,PhD or equivalent,2010,Associate Professor (or equivalent),Some Expertise,Some Expertise,80,32,1995,was about the same quality as the original study,was about the same as the average study,Very similar,It was conducted on MTurk.,Not at all similar,Not at all similar,Not at all challenging,Results were moderately surprising,X,1,No data used was pre-existing,Developmental,36,F,is,1,34,5.68,is,0.02,0.022889441,0.022889441,,0.378345294,88,F,is,1,86,0.08,is,0.77,0.777977082,0.777977082,,-0.030485538,,ANOVA,ANOVA,,1,0,1,34,86,0.0893739,0,0
50,Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.,"D Albarracên, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart",JPSP,95,3,510-23,https://osf.io/rgm6p/,"Attention, Awareness, Cues, Culture, Decision Making, Feeding Behavior, Female, Goals, Humans, Internal-External Control, Judgment, Male, Mental Recall, Persuasive Communication, Problem Solving, Psychomotor Performance, Semantics, Set (Psychology)",9,2,Albarracên,5096,University of Illinois,Albarracên,5096,University of Illinois,Voracek,6853,Stanford University,Voracek,6853,Stanford University,46,3.85,3.85,6.54,6.54,7,Social,1,Collected themselves,No expertise required,Moderate opportunity for researcher expectations to influence results,Strong opportunity for lack of diligence to affect the results,3.75,3,1,1,0,0,0,1,1,0,C Sonnleitner,10/13/14,1/9/15,J Cohoon,7,"F(2, 92) = 4.36",98,0.02,,,between ANOVA,interaction,"interaction of prime and task displaying the anticipated patterns; a greater number of thoughts were listed when participants were assigned to an action goal, rather than an inaction goal",__p^2 = 0.087,,105,136,165,Unavailable,165,0.95,4,F Cheung,"F(2, 99) = 2.601",105,0.085,same,,between ANOVA,interaction,no,0.82,__ = .049,J Matacotta,,1,https://osf.io/256xy/,PhD or equivalent,2003,Associate Professor (or equivalent),Moderate Expertise,Moderate Expertise,324,310,6714,was about the same quality as the original study,was about the same as the average study,Extremely similar,none,Not at all similar,Not at all similar,Not at all challenging,Results were slightly surprising,X,1,No data used was pre-existing,Personality,98,F,is,2,92,4.36,is,0.02,0.015520906,0.015520906,,0.208058463,109,F,is,2,103,2.601,is,0.0791,0.079067813,0.079067813,,0.155043132,,3x2 between ANOVA,two-way ANOVA,,1,0,1,92,103,,1,
132,Where do we look during potentially offensive behavior?,"JR Crosby, B Monin, D Richardson",PS,19,3,226-8,https://osf.io/b98zw/,"African Continental Ancestry Group [psychology], Association, Attention, European Continental Ancestry Group [psychology], Eye Movements, Fixation, Ocular, Humans, Interpersonal Relations, Orientation, Prejudice, Social Identification",3,2,Crosby,331,Agnes Scott College,Richardson,2496,University of Reading,Skorinko,309,Worcester Polytechnic Institute,Jonas,361,University of Amsterdam,36,1.49,2.22,1.77,3.43,1,Social,1,Collected themselves,Extreme expertise required,No opportunity for researcher expectations to influence results,Extreme opportunity for lack of diligence to affect the results,3.67,3,0,0,0,0,0,3,1,0,K Jonas,7/11/14,3/15/15,J Cohoon,1,"F(3, 69) = 5.15",25,<.005,,,mixed ANOVA,interaction,"When a White man made a potentially offensive comment in the presence of a Black man, participants would look at the Black man for a longer period of time if he could hear the comment than if he could not",__p^2 = .18,,26,32,38,Complete,32,0.9,4,H Fuchs,"F(1.48, 41.458) = 1.401",30,0.254,same,,mixed ANOVA,interaction,no,0.82,__p^2 = 0.0476,J Cohoon,,1,https://osf.io/3nay6/,PhD or equivalent,2002,Assistant Professor (or equivalent),High Expertise,High Expertise,47,35,607,was of slightly higher quality than the original study,was about the same as the average study,Virtually identical,"The cultural background of the participants is totally different. The original effect builds on a typical US university admission selection, highly competitive. Here we do not have such a procedure.",Moderately similar,Moderately similar,Not at all challenging,Results were exactly as anticipated,X,1,No data used was pre-existing,Social,25,F,is,3,69,5.15,<,0.005,0.002850691,0.002850691,,0.246947019,30,F,is,1.48,41.458,1.401,is,0.254,0.254170145,0.254170145,,0.179397898,,2x4 mixed ANOVA,2x4 ANOVA,,1,0,1,69,41.458,,0,
44,Why do implicit and explicit attitude tests diverge? The role of structural fit.,"BK Payne, MA Burkley, MB Stokes",JPSP,94,1,16-31,https://osf.io/rc6mv/,"Adolescent, Adult, Alcohol Drinking, Analysis of Variance, Attitude, Behavioral Research [methods], Cognition, Emotions, Factor Analysis, Statistical, Female, Humans, Male, Prejudice, Psychological Tests, Reproducibility of Results, Social Conformity, Social Perception, Truth Disclosure",3,1,Payne,3452,"UNC, Chapel Hill",Payne,3452,"UNC, Chapel Hill",Vianello,493,University of Padua,Vianello,493,University of Padua,165,4.25,4.25,1.97,1.97,4,Social,1,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,3,4,3,3,0,0,0,1,1,0,M Vianello,1/1/12,4/21/12,M Vianello,4,t(67) = 3.08,70,<.01,,,hierachical multiple linear regression,correlation,looking for a significant change in R^2; relationship between authors' direct and indirect procedures is moderated by percieved pressure to respond in a socially desirable manner ,_R^2=.09,,82,109,134,Complete,134,0.95,2,K Ratliff,t(176)= 2.016,180,0.045,same,,hierachical multiple linear regression,correlation,yes,0.99,_R^2 = .016,K Ratliff,(K. Payne sent all materials not available in the paper on Jan.31.12),1,https://osf.io/u23g9/,PhD or equivalent,2006,Assistant Professor (or equivalent),High Expertise,Moderate Expertise,38,26,367,was about the same quality as the original study,was about the same as the average study,Virtually identical,Italian sample vs US sample (original).,Somewhat similar,Very similar,Slightly challenging,Results were slightly surprising,X,1,No data used was pre-existing,both social and I&O psych,70,t,is,1,67,3.08,<,0.01,0.003000884,0.003000884,,0.352175067,180,t,is,1,176,2.016,is,0.045,0.045320778,0.045320778,,0.150236955,,hierachical multiple linear regression,hierachical multiple linear regression,,1,1,1,67,176,0.210684749,0,1
47,Hedonic tone and activation level in the mood-creativity link: Toward a dual pathway to creativity model.,"CK De Dreu, M Baas, BA Nijstad",JPSP,94,5,739-56,https://osf.io/9zg6x/,"Adolescent, Adult, Affect, Arousal, Concept Formation, Creativeness, Female, Humans, Imagination, Individuality, Male, Models, Psychological, Personality Inventory, Philosophy, Problem Solving",3,1,De Dreu,17538,University of Amsterdam,De Dreu,17538,University of Amsterdam,Cohoon,0,Center for Open Science,,,Center for Open Science,278,3.43,3.43,3.07,3.07,4,Social,,,,,,2.86,3.43,,,,,0,2,0,0,J Cohoon,2/28/15,,M Kidwell,4,z=2.45,546,<.015,,,Sobel test,mediation,cognitive flexibility mediates the effects of positive activating moods on creative fluency and originality.,X,,975,1300,1600,Complete,1600,0.95,2,S Bowman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,546,z,is,,,2.45,<,0.015,0.014285621,0.014285621,,0.104753853,,,,,,,,,,,,,,,,,,,,,,,,
56,A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.,"E van Dijk, GA van Kleef, W Steinel, I van Beest",JPSP,94,4,600-14,https://osf.io/xtsq6/,"Adult, Anger, Communication, Deception, Dominance-Subordination, Emotions, Fear, Female, Goals, Humans, Interpersonal Relations, Male, Motivation, Negotiating, Power (Psychology), Rejection (Psychology)",4,2,van Dijk,4910,Leiden University,van Dijk,4910,Leiden University,Voracek,6853,University of Vienna,Voracek,6853,University of Vienna,97,2.6,2.6,2.51,2.51,3,Social,1,Collected themselves,Moderate expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,3,3.67,0,0,0,0,0,5,1,0,A Slowik,10/13/14,1/11/15,J Cohoon,3,"F(1, 99) = 16.62",103,<.0001,,,ANOVA,main effect,"when consequences of rejection are low, do participants make lower offers to angry recipients than happy ones?",__p^2 = 0.1433,,49,65,80,Complete,103,0.98,2,F Cheung,t(38) = -0.260,83,0.796,opposite,2,t-test,main effect,no,0.95,d=0.082,J Matacotta,,1,https://osf.io/cxwev/,PhD or equivalent,2003,Associate Professor (or equivalent),Moderate Expertise,Moderate Expertise,324,310,6714,was about the same quality as the original study,was about the same as the average study,Very similar,"The sample consisted mainly of students, who participated voluntarily (as in the original study). We conducted the study in Austria, so Materials were in German - not in Dutch. We were provided with an English version by the original author. In our replication only 4 participants, participated simultaneously. In the original study there were groups of 8 participants. Moreover we had dummy participants (a total of 13), who came in, if a participant who signed up wouldnät show up on time. We didnät have a lab with closed cubicles as in the original study (Cubicles didnät have a back door). In the original study participants typed their offer after the instruction was presented on the screen and additionally were asked to write their offer on a sheet of paper that allegedly was given to the connected participant. The original author suggested to drop this second step.",Not at all similar,Very similar,Somewhat challenging,Results were somewhat surprising,X,1,No data used was pre-existing,Personality,103,F,is,1,99,16.62,<,0.0001,9.23E-05,9.23E-05,,0.379139495,83,t,is,1,38,-0.26,is,0.796,0.796267394,0.796267394,,-0.042140104,,ANOVA,t-test,,1,0,1,99,38,0.278127509,0,1
64,The effect of global versus local processing styles on assimilation versus contrast in social judgment.,"J F_rster, N Liberman, S Kuschel",JPSP,94,4,579-99,https://osf.io/mxryb/,"Association Learning, Attention, Concept Formation, Dominance, Cerebral, Female, Field Dependence-Independence, Generalization (Psychology), Gestalt Theory, Humans, Judgment, Male, Pattern Recognition, Visual, Psychomotor Performance, Self Concept, Social Identification, Social Perception, Time Perception",3,1,F_rster,7354,University of Amsterdam,Liberman,12768,Tel Aviv University,Reinhard,49,University of Virginia,Reinhard,49,University of Virginia,113,3.43,2.95,4.36,4.36,5,Social,1,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,3,3,4,4,0,0,0,1,1,0,D Reinhard,8/15/14,1/6/15,J Cohoon,1,"F(2, 76) = 21.57",82,<.0001,,,ANOVA,interaction,processing style (global versus local versus control) did influence the impact of the prime (agressive versus neutral) on participantsê ratings of Johnês behavior (how agressive),__p^2 = .362,,21,27,31,Complete,128,0.95,2,B Kleinberg,"F(2, 65) = 0.865",71,0.426,same,,ANOVA,interaction,no,0.99,__p^2 = 0.0259,L Lazarevic,,1,https://osf.io/h2r9c/,Master's degree or equivalent,2014,PhD student,Some Expertise,Some Expertise,4,4,45,was about the same quality as the original study,was about the same as the average study,Extremely similar,We used different stimuli to induce the cognitive processing style.,Slightly similar,Slightly similar,Moderately challenging,Results were moderately surprising,X,1,No data used was pre-existing,Social,82,F,is,2,76,21.57,<,0.0001,3.81E-08,3.81E-08,,0.425496777,71,F,is,2,65,0.865,is,0.426,0.425841059,0.425841059,,0.11385379,,ANOVA,ANOVA,,1,0,1,76,65,,0,
68,Why people are reluctant to tempt fate.,"JL Risen, T Gilovich",JPSP,95,2,293-307,https://osf.io/sg3su/,"Culture, Female, Humans, Intuition, Judgment, Male, Motivation, Negativism, Probability, Social Environment",2,2,Risen,795,University of Chicago,Gilovich,16229,Cornell University,Mathur,55,Stanford University,Frank,1965,Stanford University,59,4.71,5.56,6.54,6.54,6,Social,1,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,4,5.33,0,0,0,0,0,1,1,1,M Mathur,1/1/12,3/15/12,M Mathur,6,"F(1, 116) = 4.15",122,<.05,,,ANOVA,interaction,"significant interaction between behavior and load, such that the presence of cognitive load increased the effect of tempting fate vs. not",__p^2 = 0.035,,230,300,400,Complete,230,0.8,2,M Frank,"F(1, 222) = 0.002",226,0.961,same,,ANOVA,interaction,No,0.8,__p^2= .000,M Frank,,1,https://osf.io/itc9q/,PhD or equivalent,2010,Associate Professor (or equivalent),Slight Expertise,Slight Expertise,80,32,1995,was about the same quality as the original study,was about the same as the average study,Somewhat similar,"The main differences from the original study are in the sampling frame (Turkers rather than undergraduates) and questionnaire administration (online rather than on paper). The original questionnaire wording and format will be replicated exactly. The authors raised the concern that the scenario given in the questionnaire (about to being in a lecture class) may be more relatable to undergraduates than to other, non-student demographics. If so, theoretically, the effect of tempting fate could be attenuated. Potentially, also, our subjects could exhibit floor or ceiling effects not seen in the original sample if they perceive a substantially lower or higher baseline probability of being called on in class. An additional problem suggested by the authors is the possibility that an online environment may not allow adequate control of cognitive load, since participants are likely to have more environmental distractions than they would in a traditional lab setting. Rand (2011) echo this concern in a review on the strengths and limitations of using crowdsourcing for psychology research.",Not at all similar,Not at all similar,Not at all challenging,Results were somewhat surprising,X,1,No data used was pre-existing,Developmental,122,F,is,1,116,4.15,<,0.05,0.043910406,0.043910406,,0.185849827,226,F,is,1,222,0.002,is,0.961,0.964369609,0.964369609,,0.003001488,,2x2 ANOVA,ANOVA,,1,0,1,116,222,0.066331436,0,0
81,A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.,"N Shnabel, A Nadler",JPSP,94,1,116-32,https://osf.io/xse7q/,"Adaptation, Psychological, Adult, Analysis of Variance, Conflict (Psychology), Cooperative Behavior, Emotions, Female, Humans, Israel, Male, Models, Psychological, Negotiating, Power (Psychology), Role, Social Perception",2,1,Shnabel,506,Tel Aviv University,Nadler,4609,Tel Aviv University,Gilbert,0,Harvard University,Gilbert,0,Harvard University,138,2.95,2.95,6.74,6.74,4,Social,1,Collected themselves,No expertise required,Slight opportunity for researcher expectations to influence results,No opportunity for lack of diligence to affect the results,2,3.33,2,2,0,0,0,1,1,0,E Gilbert,1/1/12,1/1/14,E Gilbert,4,"F(1, 90) = 6.98",94,<.05,,,between ANOVA,interaction,"message x role interaction in after condition; participants in the perpetrator condition would indicate a need for social acceptance and be more likely to reconcile after their sense of moral acceptance was restored, whereas participant in the victim condition would indicate a need for power and would be more likely to reconcile after their sense of power was restored",__p2 = .07,,107,142,175,Complete,107,0.8,2,C Lai,"F(1, 137) = 1.43",141,0.235,opposite,,between ANOVA,interaction,no,0.89,__p^2 = .010,A Aarts,,1,https://osf.io/5bwva/,Master's degree or equivalent,2012,PhD student,Slight Expertise,High Expertise,7,3,5,was of slightly lower quality than the original study,was about the same as the average study,Extremely similar,"Materials - the study vignette was edited to be more applicable to younger, American participants (rather than slightly older Israeli participants). The revised materials may not have had the same psychological effect as the original materials. Age and nationality also may have mattered, since the original study had older participants from Israel who may have had more experience thinking about conflict.",Not at all similar,Very similar,Slightly challenging,Results were moderately surprising,X,1,No data used was pre-existing,Social,94,F,is,1,90,6.98,<,0.05,0.009719762,0.009719762,,0.268278965,141,F,is,1,137,1.43,is,0.235,0.233830099,0.233830099,,-0.101637251,,between 2x2 ANOVA,between subjects ANOVA,,1,0,1,90,137,0.047134162,0,0
93,Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.,"SL Murray, JL Derrick, S Leder, JG Holmes",JPSP,94,3,429-59,https://osf.io/cxmf6/,"Adolescent, Adult, Conflict (Psychology), Courtship [psychology], Female, Goals, Humans, Intention, Interpersonal Relations, Male, Models, Psychological, Questionnaires, Rejection (Psychology), Risk Reduction Behavior, Self Concept, Students [psychology], Trust [psychology]",4,4,Murray,5349,"University at Buffalo, The State University of New York",Holmes,11286,University of Waterloo,Sinclair,323,Mississippi State University,Sinclair,323,Mississippi State University,117,2.84,2.98,2.62,2.62,8,Social,1,Collected themselves,Moderate expertise required,Moderate opportunity for researcher expectations to influence results,Moderate opportunity for lack of diligence to affect the results,1.4,2.6,0,0,0,0,0,1,1,0,C Sinclair,8/12/14,3/17/15,M Kidwell,8,t(83) = 3.05,91,<.01,,,hierarchical regression analyses,interaction,"_when primed with approach goals, lows in the partner criticism condition believed their partner regarded them significantly more negatively than did controls,”",sr^2 = .07,,73,96,119,Complete,73,0.8,2,A Laique,t(68) = -1.124,76,0.265,opposite,,hierarchical regression analyses,interaction,no,0.81,beta = -.231,J Cohoon,,1,https://osf.io/9ue7j/,PhD or equivalent,2004,Associate Professor (or equivalent),Moderate Expertise,Some Expertise,22,13,334,was about the same quality as the original study,was slightly better than the average study,Very similar,"We recruited couples from the community in addition to the university and thus paid some participants instead of just awarding credit. However, the overwhelming majority of our participants were still students. Plus, per the recommendation of the committee we took out the avoidant priming condition. Otherwise, we used the same materials as were provided but for one exception where we added a scale because when we were going through the script at the end the script said to tell the participant assigned to the video condition that we had an extra measure for them to complete, as we couldn't determine what that extra measure was in the materials we included a rejection sensitivity scale. There was a single-item that asked how many faults they thought their partner listed, but this was just at the end of the post-manipulation survey and so was administered in conjunction with those materials. We added an item to the note coding scheme because we had a decent number of couple members simply volunteer to take their partner's place for the video that we added it to coding but that would not have affected administration.",Somewhat similar,Somewhat similar,Moderately challenging,Results were slightly surprising,X,1,No data used was pre-existing,Social,91,t,is,1,83,3.05,<,0.01,0.003071238,0.003071238,,0.317462994,76,t,is,1,68,-1.124,is,0.265,0.2649653,0.2649653,,-0.1351,,hierarchical regression analyses,hierarchical regression analyses,,1,0,1,83,68,0.119839749,0,0
