"Meta","k","Est","Pval","Tau","Porig","Psignif.agree","Percent above 0","Percent above 0.1","Percent above 0.2","subset"
"Albarracin S5, all",9,"0.07 [0.02, 0.12]","0.023",0,"0.060",0.98,"100","0","0","all"
"Albarracin S5, RP:P",1,"0.04 [-0.04, 0.12]","0.336",0,"0.045",0.96,"100","0","0","RP:P"
"Albarracin S5, Revised",8,"0.09 [0.03, 0.14]","0.006",0,"0.077",0.98,"100","0","0","Revised"
"Albarracin S7, all",14,"-0.02 [-0.11, 0.07]","0.646",0.1,"0.122",0.77,"50 [0, 71]","21 [0, 64]","0","all"
"Albarracin S7, RP:P",7,"0.01 [-0.16, 0.18]","0.874",0.13,"0.253",0.65,"57 [0, 86]","29 [0, 57]","14 [0, 71]","RP:P"
"Albarracin S7, Revised",7,"-0.06 [-0.17, 0.05]","0.187",0.06,"0.027",0.84,"14 [0, 71]","0","0","Revised"
"Crosby, all",6,"0.14 [0.07, 0.21]","0.004",0,"0.617",0.82,"100","100","0","all"
"Crosby, RP:P",3,"0.15 [-0.01, 0.30]","0.058",0,"0.636",0.8,"100","100","0","RP:P"
"Crosby, Revised",3,"0.14 [-0.09, 0.35]","0.121",0,"0.608",0.75,"100","100","0","Revised"
"Forster, all",16,"0.09 [0.06, 0.12]","< 0.001",0,"0.001",1,"100","0","0","all"
"Forster, RP:P",8,"0.07 [0.05, 0.08]","< 0.001",0,"< 0.001",1,"100","0","0","RP:P"
"Forster, Revised",8,"0.12 [0.06, 0.17]","0.001",0,"0.003",1,"100","100","0","Revised"
"LoBue, all",8,"0.02 [-0.06, 0.11]","0.503",0,"0.001",1,"100","0","0","all"
"LoBue, RP:P",4,"0.01 [-0.22, 0.24]","0.893",0.05,"0.003",0.99,"50 [0, 100]","0","0","RP:P"
"LoBue, Revised",4,"0.04 [-0.03, 0.10]","0.162",0,"0.001",1,"100","0","0","Revised"
"Payne, all",8,"-0.06 [-0.21, 0.09]","0.397",0.16,"0.042",0.82,"38 [0, 62]","25 [0, 50]","0","all"
"Payne, RP:P",4,"0.05 [-0.13, 0.22]","0.469",0.07,"0.032",0.94,"75 [0, 100]","50 [0, 100]","0","RP:P"
"Payne, Revised",4,"-0.16 [-0.44, 0.15]","0.198",0.18,"0.025",0.72,"25 [0, 50]","0","0","Revised"
"Risen, all",5,"-0.04 [-0.14, 0.07]","0.201",0,"0.016",0.96,"0","0","0","all"
"Risen, RP:P",1,"-0.04 [-0.08, -0.01]","0.024",0,"0.014",0.95,"0","0","0","RP:P"
"Risen, Revised",4,"-0.01 [-0.18, 0.16]","0.873",0.01,"0.056",0.83,"0","0","0","Revised"
"Shnabel, all",16,"0.05 [0.02, 0.09]","0.009",0,"0.038",0.99,"100","0","0","all"
"Shnabel, RP:P",8,"0.02 [-0.03, 0.08]","0.383",0,"0.018",0.98,"100","0","0","RP:P"
"Shnabel, Revised",8,"0.09 [0.03, 0.14]","0.008",0,"0.080",0.98,"100","0","0","Revised"
"van Dijk, all",10,"0.1 [-0.01, 0.20]","0.065",0.01,"0.006",1,"100","40 [0, 100]","0","all"
"van Dijk, RP:P",6,"0.06 [-0.06, 0.19]","0.238",0,"0.002",1,"100","0","0","RP:P"
"van Dijk, Revised",4,"0.23 [-0.03, 0.45]","0.065",0,"0.189",0.97,"100","100","100","Revised"
"Vohs, all",9,"0.04 [-0.06, 0.15]","0.366",0.06,"0.014",0.98,"78","22 [0, 100]","0","all"
"Vohs, RP:P",4,"0.04 [-0.15, 0.23]","0.548",0,"0.012",0.98,"100","0","0","RP:P"
"Vohs, Revised",5,"0.05 [-0.16, 0.25]","0.546",0.11,"0.033",0.94,"80","20 [0, 100]","0","Revised"
