"Meta","k","Est","Pval","Tau","Porig","Psignif.agree","Percent above 0","Percent above 0.1","Percent above 0.2","subset"
"Albarracin S5, all",9,"0.07 [0.01, 0.12]","0.024",0,"0.061",0.98,"100","0","0","all"
"Albarracin S5, RP:P",1,"0.04 [-0.04, 0.12]","0.335",0,"0.045",0.96,"100","0","0","RP:P"
"Albarracin S5, Revised",8,"0.09 [0.03, 0.14]","0.007",0,"0.079",0.98,"100","0","0","Revised"
"Albarracin S7, all",14,"-0.01 [-0.11, 0.08]","0.749",0.11,"0.151",0.75,"50 [0, 71]","21 [0, 64]","0","all"
"Albarracin S7, RP:P",7,"0.01 [-0.17, 0.20]","0.851",0.14,"0.297",0.61,"57 [0, 86]","29 [0, 57]","14 [0, 57]","RP:P"
"Albarracin S7, Revised",7,"-0.06 [-0.17, 0.06]","0.251",0.07,"0.039",0.81,"43 [0, 86]","0","0","Revised"
"Crosby, all",6,"0.14 [0.07, 0.21]","0.004",0,"0.619",0.82,"100","100","0","all"
"Crosby, RP:P",3,"0.15 [-0.01, 0.30]","0.054",0,"0.636",0.8,"100","100","0","RP:P"
"Crosby, Revised",3,"0.14 [-0.09, 0.36]","0.120",0,"0.612",0.75,"100","100","0","Revised"
"Forster, all",16,"0.09 [0.06, 0.12]","< 0.001",0,"0.001",1,"100","0","0","all"
"Forster, RP:P",8,"0.07 [0.05, 0.08]","< 0.001",0,"< 0.001",1,"100","0","0","RP:P"
"Forster, Revised",8,"0.12 [0.07, 0.17]","0.001",0,"0.003",1,"100","100","0","Revised"
"LoBue, all",8,"0.02 [-0.06, 0.11]","0.511",0,"0.001",1,"100","0","0","all"
"LoBue, RP:P",4,"0.01 [-0.22, 0.24]","0.910",0.05,"0.003",0.98,"50 [0, 100]","0","0","RP:P"
"LoBue, Revised",4,"0.04 [-0.03, 0.10]","0.159",0,"0.001",1,"100","0","0","Revised"
"Payne, all",8,"-0.06 [-0.21, 0.09]","0.392",0.16,"0.045",0.82,"38 [0, 62]","25 [0, 50]","0","all"
"Payne, RP:P",4,"0.05 [-0.13, 0.22]","0.463",0.07,"0.032",0.94,"75 [0, 100]","50 [0, 100]","0","RP:P"
"Payne, Revised",4,"-0.16 [-0.43, 0.14]","0.192",0.17,"0.023",0.73,"25 [0, 50]","0","0","Revised"
"Risen, all",5,"-0.04 [-0.14, 0.07]","0.199",0,"0.016",0.96,"0","0","0","all"
"Risen, RP:P",1,"-0.04 [-0.08, -0.01]","0.024",0,"0.014",0.95,"0","0","0","RP:P"
"Risen, Revised",4,"-0.01 [-0.18, 0.16]","0.856",0.01,"0.056",0.83,"25 [0, 100]","0","0","Revised"
"Shnabel, all",16,"0.06 [0.02, 0.09]","0.009",0,"0.039",0.99,"100","0","0","all"
"Shnabel, RP:P",8,"0.02 [-0.03, 0.08]","0.377",0,"0.018",0.98,"100","0","0","RP:P"
"Shnabel, Revised",8,"0.09 [0.03, 0.14]","0.008",0,"0.082",0.98,"100","0","0","Revised"
"van Dijk, all",10,"0.11 [0.00, 0.21]","0.050",0.05,"0.015",0.99,"100","70 [0, 100]","0","all"
"van Dijk, RP:P",6,"0.07 [-0.06, 0.19]","0.231",0.01,"0.003",1,"100","0","0","RP:P"
"van Dijk, Revised",4,"0.23 [-0.02, 0.46]","0.060",0,"0.203",0.97,"100","100","100","Revised"
"Vohs, all",9,"0.04 [-0.06, 0.15]","0.366",0.07,"0.016",0.98,"78","22 [0, 100]","0","all"
"Vohs, RP:P",4,"0.04 [-0.15, 0.23]","0.538",0,"0.012",0.98,"100","0","0","RP:P"
"Vohs, Revised",5,"0.05 [-0.16, 0.25]","0.545",0.12,"0.036",0.93,"80","20 [0, 100]","0","Revised"
