"Meta","k","Est","Pval","Tau","Porig","Psignif.agree","Percent.above.0","Percent.above.0.1","Percent.above.0.2","Percent.above.0.unrounded","Percent.above.0.1.unrounded","Percent.above.0.2.unrounded","Porig.unrounded","Psignif.agree.unrounded","robu.error","subset","too.small"
"Albarracin S5, all",9,"0.07 [0.01, 0.12]","2e-02",0,0.06,0.98,"100","0","0",100,0,0,0.0612186961693604,0.979491369299124,NA,"all",FALSE
"Albarracin S5, RP:P",1,"0.04 [-0.04, 0.12]","0.34",0,0.05,0.96,"100","0","0",100,0,0,0.0453685229563505,0.96166205716202,"non-conformable arguments","RP:P",FALSE
"Albarracin S5, Revised",8,"0.09 [0.03, 0.14]","7e-03",0,0.08,0.98,"100","0","0",100,0,0,0.0787758034591846,0.97785116814415,NA,"Revised",FALSE
"Albarracin S7, all",14,"-0.01 [-0.11, 0.08]","0.75",0.11,0.15,0.75,"50 [0, 71]","21 [0, 64]","0",0.5,0.214285714285714,0,0.151185910256318,0.746498412692572,NA,"all",FALSE
"Albarracin S7, RP:P",7,"0.01 [-0.17, 0.20]","0.85",0.14,0.3,0.61,"57 [0, 86]","29 [0, 57]","14 [0, 71]",0.571428571428571,0.285714285714286,0.142857142857143,0.296562788987376,0.613007364820423,NA,"RP:P",TRUE
"Albarracin S7, Revised",7,"-0.06 [-0.17, 0.06]","0.25",0.07,0.04,0.81,"43 [0, 86]","0","0",0.428571428571429,0,0,0.0388817253878959,0.811018523497535,NA,"Revised",TRUE
"Crosby, all",6,"0.14 [0.07, 0.21]","4e-03",0,0.62,0.82,"100","100","0",100,100,0,0.619187120483755,0.820208135413717,NA,"all",FALSE
"Crosby, RP:P",3,"0.15 [-0.01, 0.30]","5e-02",0,0.64,0.8,"100","100","0",100,100,0,0.635905964179432,0.79937616317941,NA,"RP:P",FALSE
"Crosby, Revised",3,"0.14 [-0.09, 0.36]","0.12",0,0.61,0.75,"100","100","0",100,100,0,0.61176067297822,0.749564865992005,NA,"Revised",FALSE
"Forster, all",16,"0.09 [0.06, 0.12]","< 1e-04",0,0,1,"100","0","0",100,0,0,0.00136283887144528,0.999925285219038,NA,"all",FALSE
"Forster, RP:P",8,"0.07 [0.05, 0.08]","< 1e-04",0,0,1,"100","0","0",100,0,0,0.000559326946918182,0.999956700102521,NA,"RP:P",FALSE
"Forster, Revised",8,"0.12 [0.07, 0.17]","1e-03",0,0,1,"100","100","0",100,100,0,0.00332288792565927,0.999835690683376,NA,"Revised",FALSE
"LoBue, all",8,"0.02 [-0.06, 0.11]","0.51",0,0,1,"100","0","0",100,0,0,0.00102500760757218,0.998616163018048,NA,"all",FALSE
"LoBue, RP:P",4,"0.01 [-0.22, 0.24]","0.91",0.05,0,0.98,"50 [0, 100]","0","0",0.5,0,0,0.00277650775324778,0.983939163052256,NA,"RP:P",TRUE
"LoBue, Revised",4,"0.04 [-0.03, 0.10]","0.16",0,0,1,"100","0","0",100,0,0,0.00108990392318464,0.99943425155929,NA,"Revised",FALSE
"Payne, all",8,"-0.06 [-0.21, 0.09]","0.39",0.16,0.05,0.82,"38 [0, 62]","25 [0, 50]","0",0.375,0.25,0,0.045036873262446,0.817321871799722,NA,"all",TRUE
