"Meta","k","Est","Pval","Tau","Porig","Psignif.agree","Percent above 0","Percent above 0.1","Percent above 0.2","subset"
"Albarracin S5, all",9,"0.07 [0.02, 0.12]","0.023",0,"0.060",0.98,"100","0","0","all"
"Albarracin S7, all",14,"-0.02 [-0.11, 0.07]","0.646",0.1,"0.122",0.77,"50 [0, 71]","21 [0, 64]","0","all"
"Crosby, all",6,"0.14 [0.07, 0.21]","0.004",0,"0.617",0.82,"100","100","0","all"
"Forster, all",16,"0.09 [0.06, 0.12]","< 0.001",0,"0.001",1,"100","0","0","all"
"LoBue, all",8,"0.02 [-0.06, 0.11]","0.503",0,"0.001",1,"100","0","0","all"
"Payne, all",8,"-0.06 [-0.21, 0.09]","0.397",0.16,"0.042",0.82,"38 [0, 62]","25 [0, 50]","0","all"
"Risen, all",5,"-0.04 [-0.14, 0.07]","0.201",0,"0.016",0.96,"0","0","0","all"
"Shnabel, all",16,"0.05 [0.02, 0.09]","0.009",0,"0.038",0.99,"100","0","0","all"
"van Dijk, all",10,"0.1 [-0.01, 0.20]","0.065",0.01,"0.006",1,"100","40 [0, 100]","0","all"
"Vohs, all",9,"0.04 [-0.06, 0.15]","0.366",0.06,"0.014",0.98,"78","22 [0, 100]","0","all"
