"Meta","k","Est","Pval","Tau","Porig","Psignif.agree","Percent above 0","Percent above 0.1","Percent above 0.2","subset"
"Albarracin S5, Revised",8,"0.09 [0.03, 0.14]","0.006",0,"0.077",0.98,"100","0","0","Revised"
"Albarracin S7, Revised",7,"-0.06 [-0.17, 0.05]","0.187",0.06,"0.027",0.84,"14 [0, 86]","0","0","Revised"
"Crosby, Revised",3,"0.14 [-0.09, 0.35]","0.121",0,"0.608",0.75,"100","100","0","Revised"
"Forster, Revised",8,"0.04 [-0.06, 0.15]","0.355",0.07,"0.004",0.99,"75 [0, 100]","12 [0, 100]","0","Revised"
"LoBue, Revised",4,"0.04 [-0.03, 0.10]","0.162",0,"0.001",1,"100","0","0","Revised"
"Payne, Revised",4,"-0.16 [-0.44, 0.15]","0.198",0.18,"0.025",0.72,"25 [0, 50]","0","0","Revised"
"Risen, Revised",4,"-0.01 [-0.18, 0.16]","0.873",0.01,"0.056",0.83,"0","0","0","Revised"
"Shnabel, Revised",8,"0.09 [0.03, 0.14]","0.008",0,"0.080",0.98,"100","0","0","Revised"
"van Dijk, Revised",4,"0.23 [-0.03, 0.45]","0.065",0,"0.189",0.97,"100","100","100","Revised"
"Vohs, Revised",5,"0.05 [-0.16, 0.25]","0.546",0.11,"0.033",0.94,"80","20 [0, 100]","0","Revised"
